,Bug_ID,Product,Component,Status,Resolution,Summary,Changed,Description,Duplicate_Bug_Ids
0,499717,Platform,Ant,RESOLVED,FIXED,Update to Ant 1.10.1,2016-08-16T08:08:59Z,apache released       and they are working on release ant           based on the timing and content of next apache ant release  eclipse ant version upgrade will be decided ,
1,544774,ECP,EMF Forms,NEW,,[Ecore Editor] Fix various issues,2019-02-25T14:02:46Z,the following issues should be fixed in the emfforms ecore editor      too many selection options in ekeys control the ekeys control of an ereference allows to select any eattribute in the ecore but only attributes of the ereference s type are allowed  also the create and link button creates the attribute in the wrong place  the attribute is created in the eclass containing the ereference  it should be created in the ereference s type or be not allowed at all       eoperation view   issues with eparameters control    parameters cannot be edited after they have been created     pressing create and link creates an empty parameter  due to the point above it cannot be created afterwards    link button makes no sense because parameters are contained   the order of the parameters cannot be changed  basically the same issues apply for the etypeparameters  control     code generation   insufficient feedback  not enough feedback is given if nothing could be generated  e g  i tried to generate tests bundle for a modified coffee model  nothing was generated and no error was reported  the progress dialog just closed after a while ,
2,544773,Platform,Text,NEW,,Support Multiline Code Mining,2019-02-25T13:55:07Z,created attachment   rendered code mining with line breaks   overview   currently  code mining only supports text without line breaks  this is due to the fact that  org eclipse jface text codemining abstractcodemining draw  only calls  org eclipse swt graphics gc drawstring  and  org eclipse swt graphics gc stringextent   they do not execute any tab expansion or carriage return processing as documented   to reproduce   simply override  org eclipse jface text codemining abstractcodemining draw  and call  org eclipse swt graphics gc drawtext  and  org eclipse swt graphics gc textextent  instead    now  line breaks are rendered correctly  on the downside  the following text in the editor will overlap because  org eclipse jface text source inlined lineheaderannotation getheight  only calculates the text height with  org eclipse swt custom styledtext getlineheight  not taking line breaks into account     expected results    org eclipse jface text source inlined lineheaderannotation getheight  takes newlines   into account   note   the same applies to  org eclipse jface text source inlined linecontentannotation  ,
3,397320,Platform,UI,CLOSED,INVALID,ClassCastException: org.eclipse.swt.layout.GridData cannot be cast to org.eclipse.swt.layout.FillData,2013-01-02T16:47:59Z,i was looking in the  log to see if the newly installed eclipse logged errors    session                                                               eclipse buildid     java version       java vendor sun microsystems inc  bootloader constants  os    arch    ws    nl da dk command line arguments    os    ws    arch          entry org eclipse equinox event                    message exception while dispatching event org osgi service event event  topic org eclipse   ui model ui elementcontainer children add  to handler org eclipse   ui services internal events uieventhandler    stack   java lang classcastexception  org eclipse swt layout griddata cannot be cast to org eclipse swt layout filldata  at org eclipse swt layout filllayout computechildsize   at org eclipse swt layout filllayout computesize   at org eclipse swt widgets composite computesize   at org eclipse jface action controlcontribution computewidth   at org eclipse jface action controlcontribution fill   at org eclipse jface action toolbarmanager update   at org eclipse   ui workbench renderers swt toolbarmanagerrenderer processcontents   at org eclipse   ui workbench renderers swt toolbarmanagerrenderer   handleevent   at org eclipse   ui services internal events uieventhandler   run   at org eclipse swt widgets synchronizer syncexec   at org eclipse ui internal uisynchronizer syncexec   at org eclipse swt widgets display syncexec   at org eclipse   ui internal workbench swt     syncexec   at org eclipse   ui services internal events uieventhandler handleevent   at org eclipse equinox internal event eventhandlerwrapper handleevent   at org eclipse equinox internal event eventhandlertracker dispatchevent   at org eclipse equinox internal event eventhandlertracker dispatchevent   at org eclipse osgi framework eventmgr eventmanager dispatchevent   at org eclipse osgi framework eventmgr listenerqueue dispatcheventsynchronous   at org eclipse equinox internal event eventadminimpl dispatchevent   at org eclipse equinox internal event eventadminimpl sendevent   at org eclipse equinox internal event eventcomponent sendevent   at org eclipse   ui services internal events eventbroker send   at org eclipse   ui internal workbench uieventpublisher notifychanged   at org eclipse emf common notify impl basicnotifierimpl enotify   at org eclipse emf ecore util ecoreelist dispatchnotification   at org eclipse emf common notify impl notifyinglistimpl addunique   at org eclipse emf common util abstractelist add   at org eclipse   ui workbench renderers swt toolbarcontributionrecord mergeintomodel   at org eclipse   ui workbench renderers swt toolbarmanagerrenderer processaddition   at org eclipse   ui workbench renderers swt toolbarmanagerrenderer generatecontributions   at org eclipse   ui workbench renderers swt toolbarmanagerrenderer processcontribution   at org eclipse   ui workbench renderers swt toolbarmanagerrenderer createwidget   at org eclipse   ui internal workbench swt partrenderingengine createwidget   at org eclipse   ui internal workbench swt partrenderingengine safecreategui   at org eclipse   ui internal workbench swt partrenderingengine safecreategui   at org eclipse   ui internal workbench swt partrenderingengine access     at org eclipse   ui internal workbench swt partrenderingengine   run   at org eclipse core runtime saferunner run   at org eclipse   ui internal workbench swt partrenderingengine creategui   at org eclipse   ui internal workbench swt partrenderingengine   handleevent   at org eclipse   ui services internal events uieventhandler   run   at org eclipse swt widgets synchronizer syncexec   at org eclipse ui internal uisynchronizer syncexec   at org eclipse swt widgets display syncexec   at org eclipse   ui internal workbench swt     syncexec   at org eclipse   ui services internal events uieventhandler handleevent   at org eclipse equinox internal event eventhandlerwrapper handleevent   at org eclipse equinox internal event eventhandlertracker dispatchevent   at org eclipse equinox internal event eventhandlertracker dispatchevent   at org eclipse osgi framework eventmgr eventmanager dispatchevent   at org eclipse osgi framework eventmgr listenerqueue dispatcheventsynchronous   at org eclipse equinox internal event eventadminimpl dispatchevent   at org eclipse equinox internal event eventadminimpl sendevent   at org eclipse equinox internal event eventcomponent sendevent   at org eclipse   ui services internal events eventbroker send   at org eclipse   ui internal workbench uieventpublisher notifychanged   at org eclipse emf common notify impl basicnotifierimpl enotify   at org eclipse emf ecore util ecoreelist dispatchnotification   at org eclipse emf common notify impl notifyinglistimpl addunique   at org eclipse emf common util abstractelist add   at org eclipse   ui internal workbench contributionsanalyzer processaddition   at org eclipse   ui workbench renderers swt trimbarrenderer addtrimcontributions   at org eclipse   ui workbench renderers swt trimbarrenderer processcontents   at org eclipse   ui internal workbench swt partrenderingengine safecreategui   at org eclipse   ui internal workbench swt partrenderingengine   run   at org eclipse core runtime saferunner run   at org eclipse   ui internal workbench swt partrenderingengine creategui   at org eclipse   ui workbench renderers swt wbwrenderer processcontents   at org eclipse   ui internal workbench swt partrenderingengine safecreategui   at org eclipse   ui internal workbench swt partrenderingengine safecreategui   at org eclipse   ui internal workbench swt partrenderingengine access     at org eclipse   ui internal workbench swt partrenderingengine   run   at org eclipse core runtime saferunner run   at org eclipse   ui internal workbench swt partrenderingengine creategui   at org eclipse   ui internal workbench swt partrenderingengine   run   at org eclipse core databinding observable realm runwithdefault   at org eclipse   ui internal workbench swt partrenderingengine run   at org eclipse   ui internal workbench   createandrunui   at org eclipse ui internal workbench   run   at org eclipse core databinding observable realm runwithdefault   at org eclipse ui internal workbench createandrunworkbench   at org eclipse ui platformui createandrunworkbench   at org eclipse ui internal ide application ideapplication start   at org eclipse equinox internal app eclipseapphandle run   at org eclipse core runtime internal adaptor eclipseapplauncher runapplication   at org eclipse core runtime internal adaptor eclipseapplauncher start   at org eclipse core runtime adaptor eclipsestarter run   at org eclipse core runtime adaptor eclipsestarter run   at sun reflect nativemethodaccessorimpl     at sun reflect nativemethodaccessorimpl invoke   at sun reflect delegatingmethodaccessorimpl invoke   at java lang reflect method invoke   at org eclipse equinox launcher main invokeframework   at org eclipse equinox launcher main basicrun   at org eclipse equinox launcher main run   at org eclipse equinox launcher main main    entry org eclipse   ui workbench swt                    message problems occurred when invoking code from plug in   org eclipse   ui workbench swt    stack   java lang classcastexception  org eclipse swt layout griddata cannot be cast to org eclipse swt layout filldata        entry org eclipse   ui workbench                    message exception occurred while rendering  org eclipse   ui model application ui menu impl toolbarimpl        stack   java lang classcastexception  org eclipse swt layout griddata cannot be cast to org eclipse swt layout filldata,
4,479245,z_Archived,m2e,CLOSED,WORKSFORME,NPE in activator causes m2e initialization to fail,2015-10-07T13:42:40Z,sometimes   fails to initialize properly with this exception being thrown under the hood  not exactly sure what triggers this    but the exception looks like there is something going wrong in the initialization order or code between   core and   jdt activators  i don t see another reason why that npe should come at     any idea what could go wrong here   java lang classnotfoundexception  an error occurred while automatically activating bundle org eclipse   jdt     at org eclipse osgi internal hooks eclipselazystarter postfindlocalclass   at org eclipse osgi internal loader classpath classpathmanager findlocalclass   at org eclipse osgi internal loader moduleclassloader findlocalclass   at org eclipse osgi internal loader bundleloader findlocalclass   at org eclipse osgi internal loader bundleloader findclassinternal   at org eclipse osgi internal loader bundleloader findclass   at org eclipse osgi internal loader bundleloader findclass   at org eclipse osgi internal loader moduleclassloader loadclass   at java lang classloader loadclass   at org eclipse osgi internal framework equinoxbundle loadclass   at org eclipse core internal registry osgi registrystrategyosgi createexecutableextension   at org eclipse core internal registry extensionregistry createexecutableextension   at org eclipse core internal registry configurationelement createexecutableextension   at org eclipse core internal registry configurationelementhandle createexecutableextension   at org eclipse jdt core javacore computeclasspathcontainerinitializer   at org eclipse jdt core javacore getclasspathcontainerinitializer   at org eclipse jdt internal core javamodelmanager initializecontainer   at org eclipse jdt internal core javamodelmanager getclasspathcontainer   at org eclipse jdt core javacore getclasspathcontainer   at org eclipse jdt internal core javaproject resolveclasspath   at org eclipse jdt internal core javaproject resolveclasspath   at org eclipse jdt internal core javaproject getresolvedclasspath   at org eclipse jdt internal core javaproject buildstructure   at org eclipse jdt internal core openable generateinfos   at org eclipse jdt internal core javaelement openwhenclosed   at org eclipse jdt internal core javaelement getelementinfo   at org eclipse jdt internal core javaelement getelementinfo   at org eclipse jdt internal core javaproject getjavaprojectelementinfo   at org eclipse jdt internal core javaproject newnamelookup   at org eclipse jdt internal core javaproject newnamelookup   at org eclipse jdt internal core javaproject findtype   at org eclipse jdt internal core javaproject findtype   at org springframework ide eclipse beans core internal model beansconfigfactory create   at org springframework ide eclipse beans core internal model beansconfigfactory create   at org springframework ide eclipse beans core internal model beansproject addconfig   at org springframework ide eclipse beans core internal project beansprojectdescriptionhandler endelement   at com sun org apache xerces internal parsers abstractsaxparser endelement   at com sun org apache xerces internal impl xmldocumentfragmentscannerimpl scanendelement   at com sun org apache xerces internal impl xmldocumentfragmentscannerimpl fragmentcontentdriver next   at com sun org apache xerces internal impl xmldocumentscannerimpl next   at com sun org apache xerces internal impl xmlnsdocumentscannerimpl next   at com sun org apache xerces internal impl xmldocumentfragmentscannerimpl scandocument   at com sun org apache xerces internal parsers   parse   at com sun org apache xerces internal parsers   parse   at com sun org apache xerces internal parsers xmlparser parse   at com sun org apache xerces internal parsers abstractsaxparser parse   at com sun org apache xerces internal jaxp saxparserimpl jaxpsaxparser parse   at com sun org apache xerces internal jaxp saxparserimpl parse   at org springframework ide eclipse beans core internal project beansprojectdescriptionreader readdescriptionfromfile   at org springframework ide eclipse beans core internal project beansprojectdescriptionreader read   at org springframework ide eclipse beans core internal model beansproject populatemodel   at org springframework ide eclipse beans core internal model beansproject getconfigs   at org springframework ide eclipse beans core internal model beansproject accept   at org springframework ide eclipse beans core internal model beansmodel start   at org springframework ide eclipse beans core beanscoreplugin   run   at org eclipse core internal jobs worker run  caused by  org osgi framework bundleexception  exception in org eclipse   jdt mavenjdtplugin start  of bundle org eclipse   jdt   at org eclipse osgi internal framework bundlecontextimpl startactivator   at org eclipse osgi internal framework bundlecontextimpl start   at org eclipse osgi internal framework equinoxbundle     at org eclipse osgi internal framework equinoxbundle equinoxmodule startworker   at org eclipse osgi container module dostart   at org eclipse osgi container module start   at org eclipse osgi framework util secureaction start   at org eclipse osgi internal hooks eclipselazystarter postfindlocalclass         more caused by  java lang nullpointerexception  at org eclipse   jdt mavenjdtplugin start   at org eclipse osgi internal framework bundlecontextimpl   run   at org eclipse osgi internal framework bundlecontextimpl   run   at java security accesscontroller doprivileged   at org eclipse osgi internal framework bundlecontextimpl startactivator         more,
5,509971,Papyrus,Table,ASSIGNED,,[Table] Resizing problem when DPI over than 100%,2017-01-05T10:17:14Z,when the dpi is over than     the resize in any cell   is not managed correctly and the table disappear progressively   when the save of size is done  the down scale of dpi must be called ,
6,567317,Platform,IDE,NEW,,key binding for backwards/forward in history are inactive until opening the preference page once,2020-09-24T10:44:20Z,dear devs   key binding for  backwards forward in history    doesn t work on initial start of the ide  a workaround is to go to  key preferences  and just lookup the binding without saving anything  close  preferences  window and it works again  this been going on for a while now   and i ve reached the boiling point today   maybe a relevant info  i have an exported key binding preferences file which i import each time when starting a new workspace or upgrading eclipse  i ve never tried to work without this preferences import       configuration details    product  eclipse ide            installed features   org eclipse platform          ,
7,561175,Equinox,p2,NEW,,Native support for proxy authentication schemes Negotiate (Kerberos) and/or NTLMv2 required,2020-03-17T08:07:51Z,created attachment   screenshot   check for update   proxy authentication error  if i set up a proxy in windows system preferences that supports the  and only the  authentication schemes negotiate   and      eclipse will automatically detect it  but the  check for update  function will not work correctly    the following error appears for many update sites   http proxy authentication required  when can we expect native support for the above proxy authentication schemes in future eclipse releases ,
8,485402,PTP,RDT.sync,CLOSED,FIXED,Synchronization is not immediately available on startup,2016-01-08T10:49:35Z,first the good news  my remote connection and synchronization is working great  now the bad  i have to open the connection manually after every eclipse start   here are the details   i have configured  sync active after save   this only works when i first open the remote connection manually     the documentation says  that the connection will automatically open when needed    the connection need not be manually restarted    it will automatically open the next time that communication with the target machine is needed      in addition   when doing this     start eclipse    open remote connection    close remote connection  now the sync will be triggered after saving a file  seems that i have to interact manually with the connection at first ,
9,507936,JDT,Core,NEW,,Show declaration (F3) on a method not working if followed by some lambda with { },2016-11-22T11:27:51Z,eclipse java ee ide for web developers   version  neon   release   build id       given the following class in a plain java   project    import java util function     public class a       public static class c           public c m                return this                        public s                         public static void main            new c  m  s   e      system out println                using   or ctrl click on  m  doesn t work but works for  c    s  or anything else in that line  if i remove the     from the second lambda           new c  m  s   e    system out println     ctrl click works for  m  as well   if i add     to the first lambda  cltr click on  m  stops working again           new c  m  s      e    system out println      ,
10,395296,Platform,SWT,VERIFIED,FIXED,[GTK] Incorrect ToolBar width on Linux,2012-11-28T14:58:49Z,created attachment   snippet to reproduce the bug  on linux  the spacing between the items of a toolbar is sometimes much larger than usual  depending on the text of the items   how to reproduce     launch the attached snippet     click the buttons  item      rebase head to  and  save stash  to add a   item to the toolbar  or to replace the   item in the toolbar     when the   item s text is  save stash   there will be large gaps between all items   this bug was found on ubuntu     and      it does not show up on windows xp and   ,
11,327717,JDT,Core,VERIFIED,FIXED,ConcurrentModificationException in JavaModelManager.initializeAllContainers,2010-10-13T22:40:18Z,build identifier       while jdt is initializing  other threads requesting information can cause a java util concurrentmodificationexception due to concurrent access to a hashmap in javamodelmanager   see these exceptions  java util concurrentmodificationexception  at java util hashmap abstractmapiterator checkconcurrentmod   at java util hashmap abstractmapiterator makenext   at java util hashmap entryiterator next   at java util hashmap entryiterator next   at org eclipse jdt internal core javamodelmanager   run   at org eclipse core internal resources workspace run   at org eclipse jdt internal core javamodelmanager initializeallcontainers   at org eclipse jdt internal core javamodelmanager getclasspathcontainer   at org eclipse jdt core javacore initializeafterload   at org eclipse jdt internal ui initializeafterloadjob realjob run   at org eclipse core internal jobs worker run   java util concurrentmodificationexception  at java util hashmap abstractmapiterator checkconcurrentmod   at java util hashmap abstractmapiterator makenext   at java util hashmap entryiterator next   at java util hashmap entryiterator next   at org eclipse jdt internal core javamodelmanager   run   at org eclipse core internal resources workspace run   at org eclipse jdt internal core javamodelmanager initializeallcontainers   at org eclipse jdt internal core javamodelmanager getclasspathcontainer   at org eclipse jdt core javacore getclasspathcontainer   at org eclipse jdt internal core javaproject resolveclasspath   at org eclipse jdt internal core javaproject resolveclasspath   at org eclipse jdt internal core javaproject getresolvedclasspath   at org eclipse jdt internal core javaproject buildstructure   at org eclipse jdt internal core openable generateinfos   at org eclipse jdt internal core javaelement openwhenclosed   at org eclipse jdt internal core javaelement getelementinfo   at org eclipse jdt internal core javaelement getelementinfo   at org eclipse jdt internal core javaelement getchildren   at org eclipse jdt internal core javaproject getpackagefragmentroots   at reallycoolpropertytester coolpropertytester test     the property tester is from a product that extends eclipse      reproducible  sometimes  steps to reproduce      start in a new workspace and create a couple web projects      select file  switch workspace  other     point to another existing workspace with lots of projects       a property tester from a background job triggers this ,
12,497705,Platform,SWT,VERIFIED,FIXED,Unhandled event loop  > StackOverflow in Perspective,2016-07-11T18:24:44Z,created attachment   full stack trace  unhanded event loop exception in eclipse neon  steps to reproduce     download eclipse neon release    build id       linux       from menu windows  perspective  customize perspective  details       session data     java vendor oracle corporation bootloader constants  os linux  arch    ws gtk  nl en us framework arguments    product org eclipse epp package java product command line arguments    os linux  ws gtk  arch    product org eclipse epp package java product      exception stack trace     java lang stackoverflowerror  at org eclipse swt events controlevent  init    at org eclipse swt widgets typedlistener handleevent   at org eclipse swt widgets eventtable sendevent ,
13,546859,Platform,SWT,NEW,,[API] Provide APIs for Dark theme support,2019-04-30T12:02:08Z,from   bug cgi id        some other platforms have a native dark mode  too  so we could try to make to cross platform api   with methods to       query if the platform has native dark mode support at all      query what the current system setting is      set the requested app appearance   from   bug cgi id      mac   gtk provide native dark theme support  swt on mac   gtk provide internal apis that are used by platform ui to use the native dark theme  this bug is to provide swt apis to set get the theme   one use case for the api is  eclipse can automatically start in light or dark theme based on the os theme ,
14,421933,Platform,Ant,NEW,,"Assertion Error: Program did not suspend, and unable to terminate launch.",2013-11-18T08:10:28Z,build id      test results         testresults html org eclipse ant tests ui linux gtk     html  testprojecthelp  program did not suspend  and unable to terminate launch   junit framework assertionfailederror  program did not suspend  and unable to terminate launch  at org eclipse ant tests ui testplugin abstractantuitest launchandwait  at org eclipse ant tests ui testplugin abstractantuitest launchandterminate  at org eclipse ant tests ui testplugin abstractantuitest launch  at org eclipse ant tests ui abstractantuibuildtest launch  at org eclipse ant tests ui separatevm separatevmtests testprojecthelp  at org eclipse ant tests ui testplugin abstractantuitest runbare  at org eclipse ant tests ui abstractantuibuildtest access    at org eclipse ant tests ui abstractantuibuildtest   run  at java lang thread run                                                                             testcolor  program did not suspend  and unable to terminate launch   junit framework assertionfailederror  program did not suspend  and unable to terminate launch  at org eclipse ant tests ui testplugin abstractantuitest launchandwait  at org eclipse ant tests ui testplugin abstractantuitest launchandterminate  at org eclipse ant tests ui testplugin abstractantuitest launch  at org eclipse ant tests ui abstractantuibuildtest launch  at org eclipse ant tests ui separatevm separatevmtests testcolor  at org eclipse ant tests ui testplugin abstractantuitest runbare  at org eclipse ant tests ui abstractantuibuildtest access    at org eclipse ant tests ui abstractantuibuildtest   run  at java lang thread run                                                                                testextensionpointtype  program did not suspend  launch terminated   junit framework assertionfailederror  program did not suspend  launch terminated  at org eclipse ant tests ui testplugin abstractantuitest launchandwait  at org eclipse ant tests ui testplugin abstractantuitest launchandterminate  at org eclipse ant tests ui testplugin abstractantuitest launch  at org eclipse ant tests ui abstractantuibuildtest launch  at org eclipse ant tests ui separatevm separatevmtests testextensionpointtype  at org eclipse ant tests ui testplugin abstractantuitest runbare  at org eclipse ant tests ui abstractantuibuildtest access    at org eclipse ant tests ui abstractantuibuildtest   run  at java lang thread run thread java  ,
15,446511,EGit,Core,RESOLVED,FIXED,Unable to view diff from View Annotations decoration when my git config includes 'diff.algorithm=patience',2014-10-09T17:41:44Z,i have recently set diff algorithm patience in my git config   after executing team  view annotations  and double clicking on the decoration on the left side of the editor  i get a problem occured dialog     building commit info  has encountered a problem    an internal error occured during   building commit info     details     an internal error occurred during   building commit info       invalid value  diff algorithm patience  this would seem to be directly caused by the jgit commit          delete patiencediff by shawn o  pearce     years    month ago  i understand the workaround  but if you cannot support patiencediff  why not ask me if i d like to use another diff algorithm  for this view  instead of making me change my config ,
16,575536,Platform,IDE,NEW,,"You do not have permission to open the application ""Eclipse""",2021-08-20T14:19:52Z,created attachment   screenshot of the dialog box that appears when trying to open the app   i have downloaded the eclipse ide and was able to open it earlier  now  when i attempt to open the app i receive an error stating  you do not have permission to open the application  eclipse    contact your computer or network administrator for assistance      could you please help me determine why i am receiving this dialog box error    my initial assumption was that the app was being blocked by gatekeeper  so i attempted to follow the instructions outlined in this article   to create a rule to create an exception for this app  this was unsuccessful  i also attempted to create an exception via the following terminal command  spctl   add  path to application app but that did not work as well    i am attempting to open the software on a     macbook pro running macos big sur        all help is greatly appreciated ,
17,464949,EGit,UI,RESOLVED,FIXED,Deletes wrong stash due to not updating stash labels,2015-04-19T08:33:19Z,create multiple stashed commits  delete stash     from egit   first bug  the remaining stashed commits will have their labels remaining as is  the top stashed commit will be called stash     now   second bug induced by first one  afterwards the deletion becomes completely confusing  if you now select any of the   remaining stashes and delete it  then egit will delete the actual stash matching the selected label  so  another  then the selected stash will disappear as deletion result  however  this second bug will vanish when the missing label update gets fixed ,
18,483383,Equinox,p2,RESOLVED,FIXED,Allow p2 to prevent installation of IUs requiring an Execution Environment not compatible with running JRE,2015-12-01T15:06:54Z,it should not be possible to install features that require an execution environment that is not supported by the jre currently running eclipse   or  if for reasons i don t see  there should a t least be a warning   for example  when running the eclipse platform sdk on a jre     and installing a feature whose plug ins require jre      the installation succeeds  but after restarting eclipse it seems as if the feature wasn t installed  none of the contributions which the plug ins are meant to provide are visible  see here     for the full story   the reason  of course  is that the bundles aren t started due to the unresolved requirement  but it takes some time and forth and back to find out what the reason is for the just installed plug ins not showing up  less patient or experienced users will likely just give up          ,
19,428088,EMF,Core,CLOSED,FIXED,"Support generating @since, @deprecated and @Deprecated",2014-02-13T11:18:53Z,in an environment that requires  since tags in the code    emf based generated code requires those  since tags  as well   currently  it is possible to add the  since tags to the genmodel  documentation   however  they will only be generated to getter methods  not setters   so  you have to manually edit the generated code  but that might not be applicable   for instance  if the code is not checked in and instead regenerated  or if your team decides that it s generally not a good idea to manually change generated code     suggestion  generate the documentation information not only into the getter s jdoc but also into the setter s jdoc   alternatively  please provide an option to generate  since tags ,
20,446525,Orion,OrionHub,CLOSED,FIXED,Renew OrionHub SSL cert,2014-10-09T18:34:50Z, your digicert ssl certificate for   orionhub org will expire in   days     as discussed with the orionhub ream  i ll provision a new vserver for orionhub then we ll generate a new csr  and update the ssl cert ,
21,460863,Platform,UI,RESOLVED,FIXED,NPE in StatusHandlerRegistry when unit tests complete,2015-02-25T23:07:35Z,when my unit tests complete  the following exception is seen when using mars      entry org eclipse ui                    message error occurred during status handling  stack   java lang nullpointerexception  at org eclipse ui internal statushandlers statushandlerregistry  init    at org eclipse ui internal statushandlers statushandlerregistry getdefault   at org eclipse ui statushandlers statusmanager getstatushandler   at org eclipse ui statushandlers statusmanager handle   at org eclipse ui statushandlers statusmanager handle   at org eclipse ui statushandlers statusmanager statusmanagerloglistener logging   at org eclipse core internal runtime runtimelog logtolisteners   at org eclipse core internal runtime platformlogwriter logged   at org eclipse osgi internal log extendedlogreaderservicefactory safelogged   at org eclipse osgi internal log extendedlogreaderservicefactory logprivileged   at org eclipse osgi internal log extendedlogreaderservicefactory log   at org eclipse osgi internal log extendedlogservicefactory log   at org eclipse osgi internal log extendedlogserviceimpl log   at org eclipse osgi internal log loggerimpl log   at org eclipse core internal runtime log log   at org eclipse core internal utils policy log   at org eclipse core internal resources savemanager reportsnapshotrequestor   at org eclipse core internal resources workspace close   at org eclipse core resources resourcesplugin stop   at org eclipse osgi internal framework bundlecontextimpl   run   at org eclipse osgi internal framework bundlecontextimpl   run   at java security accesscontroller doprivileged   at org eclipse osgi internal framework bundlecontextimpl stop   at org eclipse osgi internal framework equinoxbundle     at org eclipse osgi internal framework equinoxbundle equinoxmodule stopworker   at org eclipse osgi container module dostop   at org eclipse osgi container module stop   at org eclipse osgi container modulecontainer containerstartlevel decstartlevel   at org eclipse osgi container modulecontainer containerstartlevel docontainerstartlevel   at org eclipse osgi container systemmodule stopworker   at org eclipse osgi internal framework equinoxbundle systembundle equinoxsystemmodule stopworker   at org eclipse osgi container module dostop   at org eclipse osgi container module stop   at org eclipse osgi container systemmodule stop   at org eclipse osgi internal framework equinoxbundle systembundle equinoxsystemmodule   run   at java lang thread run ,
