Bug_ID,Product,Component,Status,Resolution,Summary,Changed,Description,Duplicate_Bug_Ids
542863.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[terminate] polarsys.arcon,2018-12-18 14:22:13,i ll use this bug to track the termination review and archival  i have cited lack of development activity as the reason for the termination  project leads and committers can add more to the review documentation if desired   i have tentatively scheduled the termination review for december     following termination  we ll need to shutdown archive     website    git repositories   mailing list    forum   bugzilla product   retire committers  project leads  and mentors  have i missed anything ,528221.0
526465.0,Community,Website,CLOSED,DUPLICATE,Update the Committer Guidelines,2017-11-23 12:28:29,there is at least one reference to  eclipse foundation contributor license agreement     there are a few references to the epl  but i don t see any actual links   consider moving this content to the handbook ,526738.0
553016.0,Dash,General,CLOSED,DUPLICATE,Create a tool that committers can use to validate license compliance of third party content,2020-02-20 09:05:55,we need to have a tool that committers can use to validate their third party content  ideally  such a tool would be easily integrated into a build script process   i ll capture the gist for now and provide more detail later     obtain a list of dependencies   obtain license information for each item in the dependency list from the ef database   for every item not found in the ef database  obtain license information from an approved external source and compare the license against the approved licenses list    provide help to engage the ip team for anything that doesn t match   requirements    minimally work with maven and npm     work from a dependency list that is assembled via existing tools     respect data size limits on services  i described a prototype tool with some detail in my blog                  revising the eclipse ip policy third party content ,560072.0
576714.0,JGit,JGit,CLOSED,DUPLICATE,Upgrade org.apache.sshd:sshd-core to version 2.7.0,2021-10-19 04:47:14,affected versions of this package are vulnerable to buffer overflow  it allows an attacker to overflow the server causing an outofmemory error   reference         mina apache org      sshd commit  ,574220.0
565069.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] tools.gef 5.3.0,2020-07-09 12:20:37,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials   there s help regarding releases in the handbook     release,565088.0
549292.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[terminate] technology.packaging.rtp,2021-03-04 12:39:23,according to our records  the eclipse runtime packaging project has not had any git activity since march    let s investigate whether or not it is time to terminate the project ,561075.0
513150.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] technology.collections 8.1.0,2017-03-15 16:41:54,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,513149.0
540216.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] technology.app4mc 0.9.2,2018-10-18 11:04:44,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,539997.0
542667.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] modeling.mmt.qvtd 2018.0.0,2019-02-07 12:07:52,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,542532.0
542639.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] iot.wakaama 1.0.0,2019-01-08 12:34:10,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,542638.0
544719.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] iot.om2m 1.4.0,2019-03-18 13:48:55,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,544720.0
540665.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] iot.concierge 5.1.0,2018-11-05 10:11:41,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,540465.0
541250.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] ee4j.servlet 4.0.2,2018-11-16 15:32:35,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,537793.0
541169.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] ee4j.jsp 2.3.4,2018-11-14 12:29:42,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,541148.0
517250.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] Eclipse Oxygen (4.7),2017-06-12 15:52:36,we ll use this bug to track the release  we require ip team approval of the ip log  ip log has been uploaded    bug cgi id    we require pmc approval of the release and review materials  review material          release review,517249.0
542890.0,MPC,wizard,CLOSED,DUPLICATE,Android Development Tools for Eclipse - installation error,2019-02-12 11:17:40,using     i could not install the android development tools for eclipse with the  install  button   javax net ssl sslexception  java lang runtimeexception  unexpected error  java security invalidalgorithmparameterexception  the trustanchors parameter must be non empty  at java base sun security ssl alerts getsslexception   at java base sun security ssl sslsocketimpl fatal   at java base sun security ssl sslsocketimpl fatal   at java base sun security ssl sslsocketimpl handleexception   at java base sun security ssl sslsocketimpl starthandshake   at java base sun security ssl sslsocketimpl starthandshake   at org apache http conn ssl sslsocketfactory createlayeredsocket   at org apache http conn ssl sslsocketfactory connectsocket   at org eclipse ecf provider filetransfer   sniawarehttpclient   connectsocket   at org apache http conn ssl sslsocketfactory connectsocket   at org apache http impl conn defaultclientconnectionoperator openconnection   at org apache http impl conn managedclientconnectionimpl open   at org apache http impl client defaultrequestdirector tryconnect   at org apache http impl client defaultrequestdirector execute   at org apache http impl client abstracthttpclient doexecute   at org apache http impl client closeablehttpclient execute   at org eclipse ecf provider filetransfer   httpclientfilesystembrowser runrequest   at org eclipse ecf provider filetransfer browse abstractfilesystembrowser directoryjob run   at org eclipse core internal jobs worker run  caused by  java lang runtimeexception  unexpected error  java security invalidalgorithmparameterexception  the trustanchors parameter must be non empty  at java base sun security validator pkixvalidator  init    at java base sun security validator validator getinstance   at java base sun security ssl   getvalidator   at java base sun security ssl   checktrustedinit   at java base sun security ssl   checktrusted   at java base sun security ssl   checkservertrusted   at java base sun security ssl clienthandshaker checkservercerts   at java base sun security ssl clienthandshaker servercertificate   at java base sun security ssl clienthandshaker processmessage   at java base sun security ssl handshaker processloop   at java base sun security ssl handshaker processrecord   at java base sun security ssl sslsocketimpl processinputrecord   at java base sun security ssl sslsocketimpl readrecord   at java base sun security ssl sslsocketimpl readrecord   at java base sun security ssl sslsocketimpl performinitialhandshake   at java base sun security ssl sslsocketimpl starthandshake         more caused by  java security invalidalgorithmparameterexception  the trustanchors parameter must be non empty  at java base java security cert pkixparameters settrustanchors   at java base java security cert pkixparameters  init    at java base java security cert pkixbuilderparameters  init    at java base sun security validator pkixvalidator  init          more,491843.0
538671.0,Community,CI-Jenkins,CLOSED,DUPLICATE,JIPP for Concurrency Utilities RI,2018-09-10 12:56:59,please create a jipp for the   eclipse project for concurrency utilities  ,538670.0
548554.0,Community,Gerrit,CLOSED,DUPLICATE,Could not SSH to git.eclipse.org:29418; could not generate HTTP password either,2019-06-23 16:08:10,i followed the instructions in   gerrit setup but it did not work   this is how i am trying to connect       erik kire   conf eclipse  ssh  v  p    i   conf eclipse id rsa edominikus git eclipse org     debian      openssl          feb      reading configuration data  home erik  ssh config    reading configuration data  etc ssh ssh config     etc ssh ssh config line    applying options for      connecting to git eclipse org           port       connection established     identity file  home erik conf eclipse id rsa type      key load public  no such file or directory    identity file  home erik conf eclipse id rsa cert type       enabling compatibility mode for protocol        local version string ssh         debian     ssh exchange identification  connection closed by remote host      failing to connect with ssh  i then tried  http password   generate password  in this page      settings http password  but it did not do anything  bugzilla suggested that it may be a regression of bug    indeed my browser s network tab showed that clicking that button caused a   internal server error  and the server did not give any further details   let me know if you need more information or want me to try something   thanks   best regards   erik,548547.0
558444.0,Mylyn,Tasks,CLOSED,DUPLICATE,GitHub Deprecation Notice after connecting with Mylyn,2020-10-06 06:54:16,after connecting to github with mylyn    i received the following message from github   hi  khatchad   you recently used a password to access an endpoint through the github api using githubeclipse        we will deprecate basic authentication using password to this endpoint soon      issues per page   page    we recommend using a personal access token   with the appropriate scope to access this endpoint instead  visit   for more information   thanks  the github team,567557.0
539770.0,Community,Wiki,CLOSED,DUPLICATE,"The ""allow cookies"" notice appears for every single page access in the wiki",2019-11-21 13:52:27,i am prompted to accept cookies with every page access in the wiki     this only seems to happen under https  afaict  i m asked exactly once when i connect anonymously via http   ,552928.0
543311.0,Platform,Doc,CLOSED,DUPLICATE,login page is not working,2019-01-09 11:59:21,login page is not openinng,543300.0
523546.0,JDT,Text,CLOSED,DUPLICATE,FREE *TV)))) Cowboys vs Cardinals Live Stream online,2017-09-26 00:52:12,fdsfdsfds,442999.0
519452.0,Babel,Server,CLOSED,DUPLICATE,"""not translatable"" should not move to top of file",2017-07-29 19:24:14,hi   when i check the checkbox  non translatable   the system scroll up to the top of the file  so i ve to scroll down  looking for the location i was in the file   please  stay on the location in the file i was before checking non translatable instead of moving   regards  jean luc,248548.0
520810.0,Babel,Server,RESOLVED,DUPLICATE,Language switcher does not work,2017-08-16 10:29:59,section with projects is empty when selecting any language   ,520619.0
511072.0,Community,Nexus,CLOSED,DUPLICATE,repo.eclipse.org responds with 503 service unavailable,2017-01-26 00:53:11,jgit builds fail to upload artefacts to repo eclipse org due to   response      console,508658.0
541600.0,Community,Website,CLOSED,DUPLICATE,download.eclipse.org is throwing bad gateway error,2018-11-30 11:01:35,we are getting bad gateway errors while connecting to download eclipse org  here is error message http server  bad gateway         i builds     features org eclipse releng tools           jar  httpcomponents connection error response code     this is resulting in our build failures ,541649.0
563091.0,Community,CI-Jenkins,CLOSED,DUPLICATE,Builds fail with Unrecognized VM option 'IdleTuningCompactOnIdle',2020-05-12 06:40:17,lemminx builds started to fail yesterday with  unrecognized vm option  idletuningcompactonidle          pipeline  builds use jdk  adoptopenjdk hotspot   latest   as seen in     ,563075.0
564131.0,Community,CI-Jenkins,CLOSED,DUPLICATE,Jobs are failing with failing to resolve download.eclipse.org or repo.eclipse.org,2020-06-09 11:14:16,we have multiple failures on platform jipp    gerrit      gerrit      gerrit     all subsequent builds,564121.0
576924.0,Community,Gerrit,CLOSED,DUPLICATE,Gerrit down,2021-10-28 03:23:33,  gives     bad gateway nginx,576923.0
573212.0,Community,GitHub,CLOSED,DUPLICATE,"PR-check triggering broken for the ""che-plugin-registry"" repository",2021-04-29 09:01:58,pr check triggering broken for the  che plugin registry  repository  we have openshift ci jobs with tests for this pr which triggers by pr s  currently  this functionality doesn t work and i suppose that i observe a problem similar to described in the issue    bug cgi id    could you please check setting of the webhook  openshift ci robot  openshift merge robot and permissions for this repository ,573010.0
528219.0,EMF,Releng,CLOSED,DUPLICATE,Migrate EMF to tycho build,2018-01-22 11:45:40,emf will need to build with tycho soon  as the old jar signer is being deprecated   removed soon ,529487.0
513103.0,Orion,Client,CLOSED,DUPLICATE,"Editor Font Size setting is only applied on the editor's line numbering, not on its content",2017-03-06 10:39:50,  open an editor on a  js file   click its wrench   change the font size combo to a conspicuously large value   note that only the font of the line numbering is changed  presumably the font of the editor content should have been changed as well  ,513012.0
513769.0,Orion,Client,CLOSED,DUPLICATE,Orion is very slow when I have a bad plugin installed.,2017-03-28 13:24:04,happened to hit this when i smoke tested orion from orionhub org  i used to have a plugin installed in my orionhub account but that plugin is   now  seems that orion was trying to wait for it until the   seconds time out  i think we need a better plugin handler  at least for plugins that    we need to quickly skip them ,511982.0
512324.0,Orion,Editor,CLOSED,DUPLICATE,Search will lose current scope sometimes,2017-02-27 08:44:32,how to reproduce     search  fs  against our project and set the scope as  modules orionode lib      search  and click some of the results     click  edit search   and click  search  again without changing anything    the results are wrong  because the scope has lost  even in the ui   it still shows as  lib ,512578.0
512383.0,Orion,Electron,CLOSED,DUPLICATE,[Electron] close other tabs after open another folder,2017-02-22 10:20:52,this is because electron orion only serves one workspace  if user switch to another workspace  the files opened in other tabs won t work ,507636.0
512823.0,Orion,JS Tools,CLOSED,DUPLICATE,Linter not merging 'rules' with 'extends' in .eslintrc,2017-02-28 10:40:00,created attachment   eslintrc     create a folder containing the attached  eslintrc yml file        in the same folder create a file foo js containing    use strict   const x      x         this is bad      open foo js using the orion electron app     i expected to see a warning about reassigning a const variable  but i don t   if i remove the  rules  section of the  eslintrc yml  i do see the expected warning  so it seems that orion ignores the  extends  section when a  rules  section is present   to match vanilla eslint it should be merging those sections together  with  rules  taking priority ,493824.0
514493.0,Orion,Editor,CLOSED,DUPLICATE,"in Desktop mode, double click a file will open a new tab, but the current tab shouldn't change",2017-04-19 12:31:43,steps     in desktop mode     double click a file link or the file row in the file system tree    the current page shouldn t change  but now  it s changing,514778.0
