Bug_ID,Product,Component,Status,Resolution,Summary,Changed,Average_Cos_Similarity_Score,Description,Duplicate_Bug_Ids
512015.0,JDT,Core,VERIFIED,DUPLICATE,[inference] Unable to infer lambda return type,2017-03-07 09:24:16,0.028555484464635995,both statements   and   can be compiled with oracle java        but eclipse fails on   with  type mismatch  cannot convert from string to comparable   super comparable   super u          list string  items   new arraylist         collections sort             collections sort               ,510111.0
518298.0,z_Archived,LSP4E,CLOSED,DUPLICATE,allow sending custom messages to server,2022-02-04 09:12:32,0.03980153967466447,it would be great if users of the   integration could not only receive arbitrary messages from the language server    but also send custom messages to the server   maybe   should support the mechanism that   implemented  using a custom languageclient to deal with custom  self defined messages  for example     projects   blob master headless services commons commons language server src main java org springframework ide vscode commons languageserver   java,519952.0
559274.0,Mylyn Docs,Wikitext,CLOSED,DUPLICATE,Remove upper version constraint on Guava,2020-07-10 19:11:26,0.0426422173829253,i believe that the version constraints wikitext uses are too tight  currently i m blocked using wikitext in a custom eclipse distribution because it requires an older version of guava  which i don t intend to include in my version   if wikitext instead removes the upper bound it would start working with future versions out of the box   ,558869.0
531808.0,EMF,Xcore,CLOSED,DUPLICATE, @GenModel statement needs to be first line in the xcore file,2018-03-01 10:53:53,0.04493831943498395,created attachment   project demonstrating the behavior   when using the  genmodel directive in an xcore file  this directive needs to be the very first line  no comments   must come before it  otherwise the line is silently ignored   the attached project demonstrates this behavior ,520945.0
541648.0,4DIAC,General,CLOSED,DUPLICATE,Invalid DTD fbt file,2018-12-11 10:02:22,0.03388768081542409,the generated   fbt file does not validate with the dtd   for fb s without event data ios the element must be removed  it can not be empty  see dtd     element interfacelist       element eventinputs       element eventoutputs       element inputvars       element outputvars       if there are no event outputs for example  the element eventoutputs must be removed  it can not be empty  this is valid for event in  and outputs  data in  and outputs ,541647.0
526461.0,Papyrus,Diagram,CLOSED,DUPLICATE,[Sequence Diagram] At message creation a minimum space should be add below it,2017-10-26 03:05:00,0.026357695379570018,a minimum space below created message should be add if there is a element just below it ,526462.0
565605.0,Platform,UI,CLOSED,DUPLICATE,[Dark theme] Tree/table selection without focus almost invisible,2020-07-28 12:15:29,0.03772712414528552,created attachment       project explorer without focus  hi   tree selection in dark theme   is almost invisible  if the tree doesn t have focus  see examples in attachment  there seem to be some changes between     and      ,562043.0
568924.0,JDT,Core,CLOSED,DUPLICATE,Internal error while renaming file,2020-11-19 03:42:52,0.018077894174146326,created attachment   event details,567081.0
543253.0,Platform,CVS,CLOSED,DUPLICATE,page not open,2019-01-09 11:59:43,0.021809848583683733,page not open while opening the page ,543300.0
560548.0,Equinox,p2,CLOSED,DUPLICATE,"""Reload"" in Available Software Sites doesn't deeply reload composites",2021-08-13 04:04:51,0.040074222370182225,this button still re use cache when shouldn t   i recently updated dltk dev      i restarted eclipse  clicked  reload button and nothing work  only way to force download   was drop entire  applications eclipse app contents eclipse   org eclipse equinox   repository cache contents ,565091.0
576697.0,Community,MailingLists,CLOSED,DUPLICATE,Cannot send to config-dev mailing list,2021-10-18 07:27:21,0.04816911781172732,this is the mail system at host mail eclipse org   i m sorry to have to inform you that your message could not be delivered to one or more recipients  it s attached below   for further assistance  please send mail to postmaster   if you do so  please include this problem report  you can delete your own text from the attached returned message                      the mail system   config dev eclipse org   command died with status          usr lib mailman mail mailman post config dev   command output  traceback          file   usr lib mailman scripts post   line        in  module      from mailman import mm cfg importerror  cannot import name     mm cfg,576684.0
568526.0,Passage,FLS,CLOSED,DUPLICATE,[Passage] extend UserOrigin with issued licenses keeping,2020-11-08 13:41:18,0.037806035628237825,a personal license  been issued  is assigned to the granted user for further analysis  billing and just for the record    now we are to issue floating license  which is baked for a company    not for a particular user    thus  our userorigin eclass should be enhanced with the ability to keep floating licenses  issued for the corresponging company ,568195.0
543641.0,MPC,wizard,CLOSED,DUPLICATE,No search results in markplace client 1.7.3 in eclipse 4.11 M1,2019-01-21 09:19:58,0.049279001164952735,no search results in marketplace client       in eclipse        for example if i search for testng it takes a while and the progress bar is shown and after it shows a empty result list ,543423.0
