Bug_ID,Product,Component,Status,Resolution,Summary,Changed,Average_Cos_Similarity_Score,Description,Duplicate_Bug_Ids
550146.0,Platform,Compare,CLOSED,DUPLICATE,UI freeze during compare,2019-08-16 07:55:25,0.13012405329530394,i see the following ui freeze if i double click on a file in the git staging view    stack trace  at java base       java lang throwable fillinstacktrace   at java base       java lang throwable fillinstacktrace   at java base       java lang throwable  init    at java base       java lang exception  init    at java base       java io ioexception  init    at java base       java nio file filesystemexception  init    at java base       java nio file nosuchfileexception  init    at java base       sun nio fs unixexception translatetoioexception   at java base       sun nio fs unixexception rethrowasioexception   at java base       sun nio fs unixexception rethrowasioexception   at java base       sun nio fs unixfileattributeviews basic readattributes   at java base       sun nio fs unixfilesystemprovider readattributes   at java base       sun nio fs linuxfilesystemprovider readattributes   at java base       java nio file files readattributes   at org eclipse jgit util fileutils fileattributes   at org eclipse jgit util fs fileattributes   at org eclipse jgit internal storage file filesnapshot ismodified   at org eclipse jgit storage file filebasedconfig isoutdated   at org eclipse jgit internal storage file filerepository getconfig   at org eclipse jgit internal storage file filerepository getconfig   at org eclipse jgit internal storage file refdirectory getpackedrefs   at org eclipse jgit internal storage file refdirectory exactref   at org eclipse jgit lib repository exactref   at org eclipse egit ui internal repository repositoriesviewcontentprovider hasstashedcommits   at org eclipse egit ui internal repository repositoriesviewcontentprovider getchildren   at org eclipse ui internal navigator extensions safedelegatetreecontentprovider getchildren   at org eclipse ui internal navigator extensions safedelegatetreecontentprovider getchildren   at org eclipse ui internal navigator extensions safedelegatetreecontentprovider getchildren   at org eclipse ui internal navigator navigatorcontentservicecontentprovider   run   at org eclipse core runtime saferunner run   at org eclipse ui internal navigator navigatorcontentservicecontentprovider internalgetchildren   at org eclipse ui internal navigator navigatorcontentservicecontentprovider getchildren   at org eclipse jface viewers abstracttreeviewer getrawchildren   at org eclipse jface viewers treeviewer getrawchildren   at org eclipse jface viewers structuredviewer getfilteredchildren   at org eclipse jface viewers abstracttreeviewer getsortedchildren   at org eclipse jface viewers abstracttreeviewer updatechildren   at org eclipse jface viewers abstracttreeviewer internalrefreshstruct   at org eclipse jface viewers treeviewer internalrefreshstruct   at org eclipse jface viewers abstracttreeviewer internalrefreshstruct   at org eclipse jface viewers treeviewer internalrefreshstruct   at org eclipse jface viewers abstracttreeviewer internalrefresh   at org eclipse jface viewers abstracttreeviewer internalrefresh   at org eclipse ui navigator commonviewer internalrefresh   at org eclipse jface viewers structuredviewer lambda     at org eclipse jface viewers structuredviewer  lambda     run   at org eclipse jface viewers structuredviewer preservingselection   at org eclipse jface viewers treeviewer preservingselection   at org eclipse jface viewers structuredviewer preservingselection   at org eclipse jface viewers structuredviewer refresh   at org eclipse jface viewers columnviewer refresh   at org eclipse ui navigator commonviewer refresh   at org eclipse jface viewers structuredviewer refresh   at org eclipse egit ui internal repository repositoriesview refreshuijob runinuithread   at org eclipse ui progress uijob lambda     at org eclipse ui progress uijob  lambda     run   at org eclipse swt widgets runnablelock run   at org eclipse swt widgets synchronizer runasyncmessages   at org eclipse swt widgets display runasyncmessages   at org eclipse swt widgets display readanddispatch   at org eclipse jface operation modalcontext modalcontextthread block   at org eclipse jface operation modalcontext run   at org eclipse jface dialogs progressmonitordialog run   at org eclipse ui internal progress progressmonitorjobsdialog run   at org eclipse ui internal progress progressmanager lambda     at org eclipse ui internal progress progressmanager  lambda     run   at org eclipse swt custom busyindicator showwhile   at org eclipse ui internal progress progressmanager busycursorwhile   at org eclipse ui internal progress progressmanager busycursorwhile   at org eclipse ui internal progress progressmanager run   at org eclipse compare internal comparecontainer run   at org eclipse compare compareeditorinput run   at org eclipse compare internal merge documentmerger dodiff   at org eclipse compare contentmergeviewer textmergeviewer dodiff   at org eclipse compare contentmergeviewer textmergeviewer update   at org eclipse compare contentmergeviewer textmergeviewer contributorinfo   runinuithread   at org eclipse ui progress uijob lambda     at org eclipse ui progress uijob  lambda     run   at org eclipse swt widgets runnablelock run   at org eclipse swt widgets synchronizer runasyncmessages   at org eclipse swt widgets display runasyncmessages   at org eclipse swt widgets display readanddispatch   at org eclipse jface operation modalcontext modalcontextthread block   at org eclipse jface operation modalcontext run   at org eclipse jface dialogs progressmonitordialog run   at org eclipse ui internal progress progressmonitorjobsdialog run   at org eclipse ui internal progress progressmanager lambda     at org eclipse ui internal progress progressmanager  lambda     run   at org eclipse swt custom busyindicator showwhile   at org eclipse ui internal progress progressmanager busycursorwhile   at org eclipse ui internal progress progressmanager busycursorwhile   at org eclipse ui internal progress progressmanager run   at org eclipse compare internal comparecontainer run   at org eclipse compare compareeditorinput run   at org eclipse compare internal merge documentmerger dodiff   at org eclipse compare contentmergeviewer textmergeviewer dodiff   at org eclipse compare contentmergeviewer textmergeviewer access     at org eclipse compare contentmergeviewer textmergeviewer   runinuithread   at org eclipse ui progress uijob lambda     at org eclipse ui progress uijob  lambda     run   at org eclipse swt widgets runnablelock run   at org eclipse swt widgets synchronizer runasyncmessages   at org eclipse swt widgets display runasyncmessages   at org eclipse swt widgets display readanddispatch   at org eclipse   ui internal workbench swt partrenderingengine   run   at org eclipse core databinding observable realm runwithdefault   at org eclipse   ui internal workbench swt partrenderingengine run   at org eclipse   ui internal workbench   createandrunui   at org eclipse ui internal workbench lambda     at org eclipse ui internal workbench  lambda     run   at org eclipse core databinding observable realm runwithdefault   at org eclipse ui internal workbench createandrunworkbench   at org eclipse ui platformui createandrunworkbench   at org eclipse ui internal ide application ideapplication start   at org eclipse equinox internal app eclipseapphandle run   at org eclipse core runtime internal adaptor eclipseapplauncher runapplication   at org eclipse core runtime internal adaptor eclipseapplauncher start   at org eclipse core runtime adaptor eclipsestarter run   at org eclipse core runtime adaptor eclipsestarter run   at java base       jdk internal reflect nativemethodaccessorimpl     at java base       jdk internal reflect nativemethodaccessorimpl invoke   at java base       jdk internal reflect delegatingmethodaccessorimpl invoke   at java base       java lang reflect method invoke   at app  org eclipse equinox launcher main invokeframework   at app  org eclipse equinox launcher main basicrun   at app  org eclipse equinox launcher main run   at app  org eclipse equinox launcher main main ,544600.0
545366.0,JDT,Core,RESOLVED,DUPLICATE,NumberFormatException in ClasspathJrtWithReleaseOption,2019-03-14 10:42:33,0.13615231525407398,i am getting this exception using the latest from     release repo  any idea what is going wrong here   i have a   configured in my jre settings  but it is not the only one       java lang numberformatexception  for input string        at java lang numberformatexception forinputstring   at java lang integer parseint   at org eclipse jdt internal core builder classpathjrtwithreleaseoption     at org eclipse jdt internal core builder classpathjrtwithreleaseoption initialize   at org eclipse jdt internal core builder classpathjrtwithreleaseoption  init    at org eclipse jdt internal core builder classpathlocation forjrtsystem   at org eclipse jdt internal core search matching javasearchnameenvironment maptoclasspathlocation   at org eclipse jdt internal core search matching javasearchnameenvironment computeclasspathlocations   at org eclipse jdt internal core search matching javasearchnameenvironment  init    at org eclipse jdt internal core search matching indexbasedjavasearchenvironment create   at org eclipse jdt internal core search matching matchlocator initialize   at org eclipse jdt internal core search matching matchlocator locatematches   at org eclipse jdt internal core search matching matchlocator locatematches   at org eclipse jdt internal core search matching matchlocator locatematches   at org eclipse jdt internal core search javasearchparticipant locatematches   at org eclipse jdt internal core search basicsearchengine findmatches   at org eclipse jdt internal core search basicsearchengine search   at org eclipse jdt core search searchengine search   at org springframework ide eclipse core java jdtutils searchforjavaconfigs   at org springframework ide eclipse core java jdtutils searchforjavaconfigs   at org springframework ide eclipse beans ui properties configfilestab createfilteredtypesdialog   at org springframework ide eclipse beans ui properties configfilestab handlejavaconfigbuttonpressed   at org springframework ide eclipse beans ui properties configfilestab handlebuttonpressed   at org springframework ide eclipse beans ui properties configfilestab access     at org springframework ide eclipse beans ui properties configfilestab   widgetselected   at org eclipse swt widgets typedlistener handleevent   at org eclipse swt widgets eventtable sendevent   at org eclipse swt widgets display sendevent   at org eclipse swt widgets widget sendevent   at org eclipse swt widgets widget sendevent   at org eclipse swt widgets widget sendevent   at org eclipse swt widgets widget notifylisteners   at org eclipse swt widgets display rundeferredevents   at org eclipse swt widgets display readanddispatch   at org eclipse jface window window runeventloop   at org eclipse jface window window open   at org eclipse ui dialogs propertydialogaction run   at org eclipse jface action action runwithevent   at org eclipse jface action actioncontributionitem handlewidgetselection   at org eclipse jface action actioncontributionitem lambda     at org eclipse swt widgets eventtable sendevent   at org eclipse swt widgets display sendevent   at org eclipse swt widgets widget sendevent   at org eclipse swt widgets widget sendevent   at org eclipse swt widgets widget sendevent   at org eclipse swt widgets widget notifylisteners   at org eclipse swt widgets display rundeferredevents   at org eclipse swt widgets display readanddispatch   at org eclipse   ui internal workbench swt partrenderingengine   run   at org eclipse core databinding observable realm runwithdefault   at org eclipse   ui internal workbench swt partrenderingengine run   at org eclipse   ui internal workbench   createandrunui   at org eclipse ui internal workbench lambda     at org eclipse core databinding observable realm runwithdefault   at org eclipse ui internal workbench createandrunworkbench   at org eclipse ui platformui createandrunworkbench   at org eclipse ui internal ide application ideapplication start   at org eclipse equinox internal app eclipseapphandle run   at org eclipse core runtime internal adaptor eclipseapplauncher runapplication   at org eclipse core runtime internal adaptor eclipseapplauncher start   at org eclipse core runtime adaptor eclipsestarter run   at org eclipse core runtime adaptor eclipsestarter run   at sun reflect nativemethodaccessorimpl     at sun reflect nativemethodaccessorimpl invoke   at sun reflect delegatingmethodaccessorimpl invoke   at java lang reflect method invoke   at org eclipse equinox launcher main invokeframework   at org eclipse equinox launcher main basicrun   at org eclipse equinox launcher main run   at org eclipse equinox launcher main main ,544860.0
536671.0,Platform,IDE,CLOSED,DUPLICATE,Workspace unusable after update to Eclipse Photon,2018-07-04 03:30:18,0.14312929758259824,after upgrading from eclipse oxygen to photon the main workspace cannot be accessed anymore   the below exception occurs and brings up an error box  closing the box immediately brings is up again  the workspace is locked in an infinite loop         problems occurred when invoking code from plug in   org eclipse ui workbench    java lang noclassdeffounderror  org eclipse jdt internal ui javaeditor javaeditor  at org eclipse jdt internal ui javaeditor astprovider activationlistener isjavaeditor   at org eclipse jdt internal ui javaeditor astprovider activationlistener partactivated   at org eclipse ui internal partservice   run   at org eclipse core runtime saferunner run   at org eclipse ui internal partservice partactivated   at org eclipse ui internal workbenchpage   run   at org eclipse core runtime saferunner run   at org eclipse ui internal workbenchpage firepartactivated   at org eclipse ui internal workbenchpage access     at org eclipse ui internal workbenchpage   partactivated   at org eclipse   ui internal workbench partserviceimpl   run   at org eclipse core runtime saferunner run   at org eclipse   ui internal workbench partserviceimpl firepartactivated   at org eclipse   ui internal workbench partserviceimpl activate   at org eclipse   ui internal workbench partserviceimpl activate   at org eclipse   ui internal workbench partserviceimpl activate   at org eclipse   ui internal workbench partserviceimpl showpart   at org eclipse ui internal workbenchpage showpart   at org eclipse ui internal workbenchpage busyshowview   at org eclipse ui internal workbenchpage   run   at org eclipse swt custom busyindicator showwhile   at org eclipse ui internal workbenchpage showview   at org eclipse ui internal workbenchpage showview   at org eclipse ui handlers showviewhandler openview   at org eclipse ui handlers showviewhandler execute   at org eclipse ui internal handlers handlerproxy execute   at org eclipse ui internal handlers   execute   at sun reflect nativemethodaccessorimpl     at sun reflect nativemethodaccessorimpl invoke   at sun reflect delegatingmethodaccessorimpl invoke   at java lang reflect method invoke   at org eclipse   core internal di methodrequestor execute   at org eclipse   core internal di injectorimpl invokeusingclass   at org eclipse   core internal di injectorimpl invoke   at org eclipse   core contexts contextinjectionfactory invoke   at org eclipse   core commands internal handlerservicehandler execute   at org eclipse core commands command executewithchecks   at org eclipse core commands parameterizedcommand executewithchecks   at org eclipse   core commands internal handlerserviceimpl executehandler   at org eclipse ui internal handlers legacyhandlerservice executecommand   at org eclipse ui menus commandcontributionitem handlewidgetselection   at org eclipse ui menus commandcontributionitem lambda     at org eclipse swt widgets eventtable sendevent   at org eclipse swt widgets display sendevent   at org eclipse swt widgets widget sendevent   at org eclipse swt widgets display rundeferredevents   at org eclipse swt widgets display readanddispatch   at org eclipse   ui internal workbench swt partrenderingengine   run   at org eclipse core databinding observable realm runwithdefault   at org eclipse   ui internal workbench swt partrenderingengine run   at org eclipse   ui internal workbench   createandrunui   at org eclipse ui internal workbench lambda     at org eclipse core databinding observable realm runwithdefault   at org eclipse ui internal workbench createandrunworkbench   at org eclipse ui platformui createandrunworkbench   at org eclipse ui internal ide application ideapplication start   at org eclipse equinox internal app eclipseapphandle run   at org eclipse core runtime internal adaptor eclipseapplauncher runapplication   at org eclipse core runtime internal adaptor eclipseapplauncher start   at org eclipse core runtime adaptor eclipsestarter run   at org eclipse core runtime adaptor eclipsestarter run   at sun reflect nativemethodaccessorimpl     at sun reflect nativemethodaccessorimpl invoke   at sun reflect delegatingmethodaccessorimpl invoke   at java lang reflect method invoke   at org eclipse equinox launcher main invokeframework   at org eclipse equinox launcher main basicrun   at org eclipse equinox launcher main run   at org eclipse equinox launcher main main   eclipse buildid           java version       java vendor oracle corporation bootloader constants  os    arch    ws    nl de de framework arguments    product org eclipse epp package jee product command line arguments    os    ws    arch    product org eclipse epp package jee product  data path to workspace,536619.0
522093.0,Platform,Text,CLOSED,DUPLICATE,"Support a ""multiple cursor"" mode in editors",2017-09-10 00:54:48,0.05399154036402374,it would be nice if eclipse s text editors supported a  multiple cursor  mode  where multiple pieces of text can be selected at once  and the same edit applied to all selections at once   there is some similarity to  block selection  mode  except in block selection mode  the  multiple cursors  are limited to being on adjacent lines  and starting at the same column offset   atom     and sublime     have a similar feature         cursor      ,466532.0
535067.0,JDT,Debug,CLOSED,DUPLICATE,Incomplete Java classpath for Standalone JUnit launch using Java 10,2018-05-24 08:08:50,0.05981577004941685,using java    a junit launch has a classpath that includes all bundles  transitively used by the launched test bundle   using java   and photon    the launch seems to omit those bundles that are not re exported and so not surprisingly tests fail with a cnfe   in bug    the problem is easily worked around by adding a few extra dependencies to the test bundle  however there is clearly a regression  is this mandated by java      it seems a bit unnecessary when the java   junit launch could easily provide the same classpath as java   ,534884.0
552801.0,Community,CI-Jenkins,CLOSED,DUPLICATE,400 Bad Request Request Header Or Cookie Too Large,2019-11-07 11:17:19,0.0706321209722896,i received an error    bad request request header or cookie too large  when accessing ci eclipse org    this is the second time this has happened recently and the solution on my end is to delete all my cookies for eclipse org   however i raise it with webmaster as it seems strange to me that eclipse is sending out so many cookies in the first place  my cookie string in the header is   chars long  most of them of the form    ,552465.0
567491.0,JDT,UI,CLOSED,DUPLICATE,[quickfix] polish code preview in quickfix selection dialog,2020-10-06 11:51:45,0.06084163496826869,formatting is now not in all cases nice    i guess there are again some quickfixes that do not format the code preview without a newline in front but a trailing newline  we have to polish that   at least as long as we have not found a way to replace the complete simple string preview code with a real java code view that allows to apply the real quickfixes to it and have syntax highlighting and so on  at that moment we could possible reduce the preview code a lot as we can apply several quickfixes to the same code ,567620.0
518518.0,Community,Marketplace,CLOSED,DUPLICATE,[feature request] Provide a way to diable or suppress an Marketplace entry,2017-06-20 10:34:00,0.0664133106340189,eclipse smarthome   allows bindings to be installed from the marketplace   the usual workflow is to create an entry on the marketplace  and point the download url to the location where the pull request builder uploads its jars  after the binding is accepted into the master branch the marketplace entry is removed   now  if work continues on that binding  we have to recreate the entry with all its metadata   a way to disable or suppress the entry  and re enable it later on when news prs with new improvements start  would be helpful   please see also the openhab forums for that discussion     bindings through the iot marketplace     u hakan,516311.0
521303.0,Platform,IDE,CLOSED,DUPLICATE,GVT47: Some strings are lost in perspective description of Team Synchronizing,2017-08-24 07:10:42,0.053200688330659746,   build label           language   english and all     steps to reproduce the problem       click from toolbar window    perspective    open perspective    other        click on one perspective item   and press   to display its description      problem description  the whole strings should be    eclipse plugins org eclipse team ui plugin properties synchronizing perspective description this perspective is designed to support the synchronization of resources in the local workspace with their counterparts shared in a repository  it incorporates views for synchronizing  browsing history and comparing resource content    but actually  strings behind from     it incorporates views    are lost  users can t see the whole strings description      expected result  the whole string description can be displayed correctly in the ui ,521264.0
530212.0,JDT,Core,CLOSED,DUPLICATE,java.lang.IncompatibleClassChangeError with method reference.,2018-01-23 18:47:41,0.05787022946964303,our organization is currently on mars    after downloading and testing with oxygen    we noticed some of our method references no longer work  i ve narrowed it down to the sample code i ve provided below   i am using           when i run this program from eclipse  i get this error     exception in thread  main  java lang incompatibleclasschangeerror  class oxygenbug main  lambda     does not implement the requested interface java util function predicate  at oxygenbug main  init    at oxygenbug main main   the code editor does not flag any errors  it s only an issue at runtime  we d like to upgrade to oxygen  but we cannot until this is resolved  we also noticed this issue with oxygen         thank you for taking a look  here is my code      package oxygenbug   import java io serializable  import java util function predicate   public class main    private predicate string  validator     static public void main      new main         public main      setvalidator        boolean isvalid   getvalidator  test     system out println         private boolean validate      return value    null        public  v extends predicate string    serializable  void setvalidator      this validator   validator        public predicate string  getvalidator      return this validator      ,486013.0
