Unnamed: 0,Bug_Id,Product,Component,Status,Resolution,Summary,Changed,Description,Duplicate_Bug_Ids,Type,Updated,Bug Id
1,1654288,Core,Layout: Form Controls,NEW,,Enable layout.forms.input-type-search.enabled by default,2020-07-21T14:37:32Z,mainly needs    tests   a web exposed way to remove the clear icon  to enable the new ui for   input type  search     see    ,,,,
2,1369108,Core,WebRTC,RESOLVED,FIXED,Ask for WebRTC app permissions asynchronously on Android,2017-05-31T16:52:18Z,currently on android  we ask for camera permission synchronously on the media thread      it s bad because      it can indefinitely block the media thread     the way we ask for permission in videocapturedeviceinfoandroid java is fennec specific and will fail to work for geckoview  i think the correct solution is to introduce an earlier step in the gum chain to ask for permissions asynchronously         central rev   media webrtc trunk webrtc modules video capture android java src org webrtc videoengine videocapturedeviceinfoandroid java  ,,,,
4,1359911,Firefox for iOS,Telemetry,RESOLVED,FIXED,Swap in Open Source LP SDK for Closed Source LP SDK,2017-04-26T17:17:49Z,,,,,
5,1499689,Firefox for iOS,Browser,UNCONFIRMED,,Device:  - iPhone XS MAX;  Steps 1. Open wix site;  2. In the highlights section my resume is not open properly.Video(Unwanted format): https://www.youtube.com/watch?v=-IVK7XzskPc. (Correct Format):-https://www.youtube.com/watch?v=w_YjNBft0GA,2018-10-17T12:57:34Z,user agent  mozilla       applewebkit         version     safari        steps to reproduce   open my online resume on six com   actual results   menus and format are totally in correct   expected results   show the resume correct way and full format ,,,,
7,1654832,GeckoView,General,RESOLVED,FIXED,[meta] GV Content Permissions overhaul meta,2020-07-23T16:19:18Z,we ve decided that it s better to let gecko handle persisting content permissions  which requires an overhaul of some of  permissiondelegate   particularly  oncontentpermissionrequest   we ll be moving away from callbacks in favor of  geckoresult s as part of this to bring the api closer to the design of the rest of gv ,,,,
8,1510450,GeckoView,General,NEW,,Show form validation errors,2018-11-27T21:54:06Z,fennec shows form validation messages     but geckoview does not  most of this is in formassistant jsm in fennec         us docs web api constraint validation,,,,
9,1325110,Core,DOM: Core & HTML,NEW,,Remove Screen::mozOrientation,2016-12-21T16:51:54Z,it is said to be deprecated in favour of the screenorientation api ,,,,
10,1323062,Web Compatibility,Mobile,RESOLVED,FIXED,Wall Street Journal shows desktop site on mobile,2016-12-12T21:33:15Z,   navigates to the desktop version   we should evangelize   ,,,,
15,1529930,GeckoView,General,NEW,,Add convenience methods for dealing with body in WebRequest,2019-02-22T15:29:43Z,webrequest has a bytebuffer for the body  but often you have a  jsonobject  or  byte     converting that is a bit annoying  we could add overloads of  webrequest builder body   to make that easier to use ,,,,
17,1726544,Firefox Build System,General,RESOLVED,FIXED,Linux build bustage Aug 19 - make[4]: *** [/builds/worker/checkouts/gecko/config/rules.mk:544: librnp.so] Error 1,2021-08-19T11:30:07Z,  filed by    mkmelin  at  iki fi   parsed log      job id   repo comm central   full log      ci tc services mozilla com api queue   task   runs   artifacts public logs live backing log              ,,,,
18,975444,Web Compatibility,Mobile,ASSIGNED,,google.com - Firefox Android doesn't receive the tier1 sent to Chrome Android,2014-02-21T16:43:20Z,some searches is not showing quick info on google search result   weather in san fransisco         go indigo      works fine on chrome and uc browser ,,,,
19,1654357,Core,Performance,RESOLVED,FIXED,Disable speculative JS parsing,2020-07-21T18:49:09Z,set dom script loader external scripts speculative omt parse enabled to false until bug   is resolved ,,,,
22,1530967,GeckoView,General,NEW,,GeckoView: Add support for taking screenshot of full page web content,2019-02-27T09:51:29Z,we would like to take screenshots of the whole page of web content to use them in our app ,,,,
